Key,Value,Type
bio_en,"I’m an experienced video, audio, and everything in between specialist with 20 years of experience in television, radio broadcasting, motion design, video production, and media music composing. I currently work as the Head of Production of the Investigative Department at UA: PBC (Public Broadcasting Company of Ukraine).

Furthermore, I also create soundtracks for documentaries and solo music under the pseudonym “ephtrackx”. Before that, I was the bassist of the Ukrainian indie band “acloneofmyown” and the guitarist of the metalcore band “the Sky is Red”. Although my music career started back in the early 2000s, when I wrote electronic music mostly in the genre of Trip-Hop and Drum’n’Bass, and worked with several local Hip-Hop artists.",text
bio_ua,"Я – досвідчений фахівець у галузі відео, аудіо та усього, що з цим пов’язано, з 20-річним досвідом роботи в теле- та радіомовленні, моушн-дизайні, відеопродакшні та написанні музики для ЗМІ. Наразі я працюю керівником відділу виробництва розслідувального департаменту на «Суспільне».

Крім того, я створюю саундтреки до документальних фільмів та сольну музику під псевдонімом «ephtrackx». До цього я був басистом українського інді-гурту «acloneofmyown» та гітаристом металкор-гурту «the Sky is Red». Хоча моя музична кар’єра розпочалася ще на початку 2000-х років, коли я писав електронну музику переважно в жанрах тріп-хоп та драм-н-бейс, а також співпрацював із кількома місцевими хіп-хоп-виконавцями».",text
bio_work_en,"2006-2007 – System Administrator at TV\Radio Company “Rhythm”
2007-2011 – Video Designer\Sound Engineer at TV\Radio Company “Rhythm”
2011-2015 – Television Director at Rivne State Television Company
2015-2019 – Senior Specialist (Videographer) at Public Broadcasting Company of Ukraine
2019-Present – Head of Production (Investigative Department) at Public Broadcasting Company of Ukraine",text
bio_work_ua,"2006–2007 – системний адміністратор у телерадіокомпанії «Ритм»
2007–2011 – відеодизайнер та звукорежисер у телерадіокомпанії «Ритм»
2011–2015 – режисер телебачення у Рівненській державній телерадіокомпанії
2015–2019 – старший спеціаліст (відеограф) у Суспільній телерадіокомпанії України
2019-Дотепер – керівник виробничого відділу редакції розслідувань у Суспільній телерадіокомпанії України",
contact_email,acomo.fox@gmail.com,contact
contact_facebook,https://www.facebook.com/ephtrackx,contact
contact_linkedin,https://www.linkedin.com/in/alexanderstratonov/,contact
contact_instagram,https://www.instagram.com/ephtrackx/,contact
contact_youtube,https://www.youtube.com/@ephtrackx,contact
contact_soundcloud,https://www.soundcloud.com/ephtrackx,contact
contact_bandcamp,https://ephtrackx.bandcamp.com/,contact
contact_byumeacoffee,https://buymeacoffee.com/ephtrackx,contact
