Track_ID,Title,Release_Date,Release_Type_EN,Release_Type_UA,Author,Youtube_URL,Soundcloud_URL,Bandcamp_URL,Order
mus-28,Protected from the Homeland,2026,Original Documentary Soundtrack,Оригінальний саундтрек,Alexander Stratonov,https://www.youtube.com/playlist?list=PLNGYoNoNF7O8,https://soundcloud.com/ephtrackx/sets/protected-from-the-homeland,https://ephtrackx.bandcamp.com/album/protected-from-the-homeland-original-documentary-soundtrack,1
mus-27,Rebuilding on the Edge,2026,Original Documentary Soundtrack,Оригінальний саундтрек,Alexander Stratonov,https://www.youtube.com/playlist?list=PLbUjLLHnIC0PWOT-kEq2nvv6D3JQjQwYm,https://soundcloud.com/ephtrackx/sets/rebuilding-on-the-edge,https://ephtrackx.bandcamp.com/album/rebuilding-on-the-edge-original-documentary-soundtrack,2
mus-26,Spider and Other Unpunished,2025,Original Documentary Soundtrack,Оригінальний саундтрек,Alexander Stratonov,https://www.youtube.com/playlist?list=PLbUjLLHnIC0MojLNysg8qxpGkk__K4xGk,https://soundcloud.com/ephtrackx/sets/spider-and-other-unpunished-original-documentary-soundtrack,https://ephtrackx.bandcamp.com/album/spider-and-other-unpunished-original-documentary-soundtrack,3
mus-25,Nalbuphine: Profitable Addiction,2025,Original Documentary Soundtrack,Оригінальний саундтрек,Alexander Stratonov,https://www.youtube.com/playlist?list=PLbUjLLHnIC0PwI_bWuiMIUO9fW1HMB35p,https://soundcloud.com/ephtrackx/sets/nalbuphine-profitable-addiction-original-documentary-soundtrack,https://ephtrackx.bandcamp.com/album/nalbuphine-profitable-addiction-original-documentary-soundtrack,4
mus-24,MMXXII,2025,Album,Альбом,Alexander Stratonov,https://www.youtube.com/playlist?list=PLbUjLLHnIC0PZd80MbEVs93aBM4fahv0s,https://soundcloud.com/ephtrackx/sets/mmxxii,https://ephtrackx.bandcamp.com/album/mmxxii,5
mus-23,West of East,2025,Original Documentary Soundtrack,Оригінальний саундтрек,Alexander Stratonov,https://www.youtube.com/playlist?list=PLbUjLLHnIC0MbCTUQc2w_KqJB91HSyhBM,https://soundcloud.com/ephtrackx/sets/west-of-east-original-documentary-soundtrack,https://ephtrackx.bandcamp.com/album/west-of-east-original-documentary-soundtrack,6
mus-22,"Call Sign ""Batman""",2024,Original Documentary Soundtrack,Оригінальний саундтрек,Alexander Stratonov,https://www.youtube.com/playlist?list=PLbUjLLHnIC0PoNov8eUk5LY_uEgc0un1H,https://soundcloud.com/ephtrackx/sets/call-sign-batman-original-documentary-soundtrack,https://ephtrackx.bandcamp.com/album/call-sign-batman-original-documentary-soundtrack,7
mus-21,Kamikaze Drones,2024,Original Documentary Soundtrack,Оригінальний саундтрек,Alexander Stratonov,https://www.youtube.com/playlist?list=PLbUjLLHnIC0P-AVbDyl7bAAA6E9HuJG1K,https://soundcloud.com/ephtrackx/sets/kamikaze-drones-original-documentary-series-soundtrack,https://ephtrackx.bandcamp.com/album/kamikaze-drones-original-documentary-series-soundtrack,8
mus-20,Against the Gale,2024,Single,Сингл,Alexander Stratonov,https://youtu.be/amCcOjoEijk,https://on.soundcloud.com/ye5Ena81yO1MVbsa13,https://ephtrackx.bandcamp.com/track/against-the-gale,9
mus-19,Inglorious Officers: Russian Torturers in Kherson,2024,Original Documentary Soundtrack,Оригінальний саундтрек,Alexander Stratonov,https://www.youtube.com/playlist?list=PLbUjLLHnIC0NLS0rEgYTJtKURe956zuOs,https://soundcloud.com/ephtrackx/sets/inglorious-officers-original-soundtrack,https://ephtrackx.bandcamp.com/album/inglorious-officers-russian-torturers-in-kherson-original-documentary-soundtrack,10
mus-18,Threads of Ember,2024,Single,Сингл,Alexander Stratonov,https://youtu.be/LcyqAnK8X5o,https://soundcloud.com/ephtrackx/threads-of-ember,https://ephtrackx.bandcamp.com/track/threads-of-ember,11
mus-17,Do You See the Light?,2023,Single,Сингл,Alexander Stratonov,https://youtu.be/aH-BiQ3Ccus,https://soundcloud.com/ephtrackx/do-you-see-the-light,https://ephtrackx.bandcamp.com/track/do-you-see-the-light,12
