Project_ID,Title,Year,Role_EN,Role_UA,Description_EN,Description_UA,Video_URL,Featured,Order
musvid-15,ephtrackx - Atonement,2025,"Video editing director, Graphic designer, Colorist","Режисер монтажу, Графічний дизайнер, Колорист","Music by Alexander Stratonov (aka ephtrackx) from ""MMXXII: Highlights of 2022 Remastered""

I wrote the original version of this track back in 2022 for the YouTube project “Shot Cars”, and I threw together the video for it in 2023. Somehow it got forgotten, but now, on the occasion of Halloween, I decided to update it a little with the remastered version from the “MMXXII” collection. I think this dark, magical, and meditative track will provide the necessary atmosphere for this day.","Музика Олександра Стратонова (відомий як ephtrackx) з альбому «MMXXII: Highlights of 2022 Remastered»

Я написав оригінальну версію цього треку ще в 2022 році для YouTube-проєкту «Shot Cars», а відео до нього змонтував у 2023 році. Якось про нього забули, але зараз, з нагоди Хелловіна, я вирішив трохи оновити його, використавши ремастеровану версію з колекції «MMXXII». Гадаю, цей похмурий, чарівний і медитативний трек створить необхідну атмосферу для цього дня.",https://youtu.be/4h3ZqZvsgMg,TRUE,1
musvid-14,ephtrackx - Threads of Ember,2024,"Video editing director, Colorist","Режисер монтажу, Колорист","Music by Alexander Stratonov (aka ephtrackx).

I would like my first release in 2024 to be about beauty and hope with a touch of melancholy. After all, as you start the year, so you will spend it... This is exactly what the track ""Threads of Ember"" is about. It's a metaphor for a dying fire. But it lacks only one gust of wind to flare up again. What emotions did you experience?","Музика Олександра Стратонова (відомий як ephtrackx).

Я хотів би, щоб мій перший реліз у 2024 році був про красу та надію з ноткою меланхолії. Адже як розпочнеш рік, так і проживеш його... Саме про це йдеться у треку «Threads of Ember». Це метафора згасаючого вогню. Але йому бракує лише одного пориву вітру, щоб знову спалахнути. Які емоції ви відчували?",https://youtu.be/LcyqAnK8X5o,TRUE,2
musvid-13,ephtrackx - Do You See the Light?,2023,"Video editing director, Colorist","Режисер монтажу, Колорист","Music by Alexander Stratonov (aka ephtrackx).

This track was born out of an experiment when I wanted to prove that even with affordable virtual instruments, it’s possible to create a complex string arrangement. It was composed using only Originals Intimate Strings by Spitfire Audio.","Музика Олександра Стратонова (відомий як ephtrackx).

Цей трек народився з експерименту, коли мені захотілося пересвідчитися у тому, що навіть з доступними в ціні віртуальними інструментами можна створити комплексний струнний твір. Написано використовуючи виключно Originals Intimate Strings від Spitfire Audio.",https://youtu.be/aH-BiQ3Ccus,TRUE,3
musvid-12,ephtrackx - Reykjavik,2023,"Video editing director, Colorist","Режисер монтажу, Колорист","Music by Alexander Stratonov (aka ephtrackx)

This composition is my love letter to Iceland. Magnificent and beautiful land, the homeland to many composers, who inspired me in my music journey. Ólafur Arnalds, Hildur Guðnadóttir, Jóhann Jóhannsson, Atli Örvarsson – to name the few. Their music deeply resonates with me on so many different levels. Thank you, Iceland! It wouldn't be the same without you!","Музика Олександра Стратонова (відомий як ephtrackx)

Ця композиція — мій любовний лист до Ісландії. Чудова й прекрасна країна, батьківщина багатьох композиторів, які надихнули мене на моєму музичному шляху. Олафур Арнальдс, Хільдур Гуднадоттір, Йохан Йоханссон, Атлі Орварссон — це лише декілька імен. Їхня музика глибоко резонує зі мною на багатьох різних рівнях. Дякую, Ісландіє! Без тебе все було б інакше!",https://youtu.be/fnfJs5lxK6c,TRUE,4
musvid-11,ephtrackx - Unbinding,2022,"Video editing director, Colorist","Режисер монтажу, Колорист","Music by Alexander Stratonov (aka ephtrackx)

I originally wrote this piece for the multi-episode documentary series *Shot Cars*. It’s a great example of a “flow” composition, where you simply play whatever feels right in the moment.","Музика Олександра Стратонова (відомий як ephtrackx)

Оригінал цієї композиції я написав для документального багатосерійного проєкту Shot Cars. Чудовий приклад флоу-композиції, коли ти просто граєш те, що відчувається в моменті.",https://youtu.be/bWxAiq6bxwA,TRUE,5
musvid-10,ephtrackx - Bipolar,2022,"Video editing director, Colorist","Режисер монтажу, Колорист","Music by Alexander Stratonov (aka ephtrackx)

This composition is an attempt to convey the struggle between conflicting emotions within us.","Музика Олександра Стратонова (відомий як ephtrackx)

Ця композиція – спроба передати боротьбу конфліктуючих емоцій всередині нас.",https://youtu.be/y80IUsFlcMw,TRUE,6
musvid-09,ephtrackx - Kahuna,2022,"Video editing director, Colorist","Режисер монтажу, Колорист","Music by Alexander Stratonov (aka ephtrackx)

Kahuna—in Hawaiian, and in surfer slang, “a really big wave.” My new track is for everyone who’s missing the ocean right now.","Музика Олександра Стратонова (відомий як ephtrackx)

Kahuna – з гавайської, у сленгу серферів ""дуже велика хвиля"". Мій новий трек для вісіх тих, хто зараз сумує за морем.",https://youtu.be/c2QDw9HehzU,TRUE,7
musvid-08,Grandma’pick - Tremor,2019,Assistant Director,Асистент режисера,"When you’re weak and broken, you try to find a happy place. It could even be your friend’s garage, where the sound is so bad that the only thing worse is your inner state. Despite all of that, you still can play music with your friends, not caring a dime about the neighbors! So, watch, guys, remember, and never give up what you love and what brings passion into your life!","Коли ти слабкий і знесилений, ти намагаєшся знайти місце, де можна відчути себе щасливим. Це може бути навіть гараж твого друга, де звук настільки поганий, що гірше за нього може бути хіба що твій внутрішній стан. Незважаючи на все це, ти все одно можеш грати музику разом із друзями, не зважаючи анітрохи на сусідів! Тож дивіться, друзі, запам’ятайте це і ніколи не відмовляйтеся від того, що любите і що наповнює ваше життя пристрастю!",https://youtu.be/MbFoNgFvJNM,TRUE,8
musvid-07,Grandma’pick - Hurricane,2019,"Director, Director of Photography, Art Director, Video Editor, Colorist","Режисер, оператор-постановник, художник-постановник, режисер монтажу, колорист","For a few months, we have worked to create this video. This is our debut video, in which we have invested a lot of work, energy, disputes, and means. Despite the fact that we are from different countries, we are united by our creative musical idea and belief in what we do. We really want to surprise you, guys!","Протягом кількох місяців ми працювали над створенням цього відео. Це наше дебютне відео, у яке ми вклали багато праці, енергії, суперечок і коштів. Незважаючи на те, що ми з різних країн, нас об’єднує наша творча музична ідея та віра в те, що ми робимо. Ми дуже хочемо вас здивувати, друзі!",https://youtu.be/KX6ufO4m83M,TRUE,9
musvid-06,Бордюр - Знати,2018,"Director, Director of Photography, Art Director, Video Editor, Colorist","Режисер, оператор-постановник, художник-постановник, режисер монтажу, колорист","Second music video of ukrainian metalcore band ""БОРДЮР"" (BRDR)",Другий музичний кліп українського металкор-гурту «БОРДЮР» (BRDR),https://youtu.be/eB3eQmUddqg,TRUE,10
